ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

State Name,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Total Number Operational School Districts [District] 2023-24,Total Number Operational Schools [Public School] 2023-24,Total Number Operational Charter Schools [Public School] 2023-24,Prekindergarten Students [State] 2023-24,Kindergarten Students [State] 2023-24,Grades 1-8 Students [State] 2023-24,Grades 9-12 Students [State] 2023-24,Grade 13 Students [State] 2023-24,Ungraded Students [State] 2023-24,American Indian/Alaska Native Students [State] 2023-24,Asian or Asian/Pacific Islander Students [State] 2023-24,Hispanic Students [State] 2023-24,Black or African American Students [State] 2023-24,White Students [State] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [State] 2023-24,Two or More Races Students [State] 2023-24,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Pupil/Teacher Ratio [State] 2023-24,State Name [State] 2023-24,Total Number of Districts with Enrollment [District] 2023-24,Total Number of School Districts [District] 2023-24,Total Number of Public Schools [Public School] 2023-24,Male Students [State] 2023-24,Female Students [State] 2023-24,Black or African American - male [State] 2023-24,Black or African American - female [State] 2023-24,White - male [State] 2023-24,White - female [State] 2023-24,Grade 12 Students - Black or African American [State] 2023-24,Secondary Teachers [State] 2023-24,Elementary Teachers [State] 2023-24,Full-Time Equivalent (FTE) Staff [State] 2023-24
KANSAS,KS ,20,337,1348,8,24407,31880,277131,146991,–,3096,3527,13634,106278,31921,296329,1152,30664,483505,37166.56,13.01,KANSAS,290,337,1348,248207,235298,16348,15573,152794,143535,2330,17292.68,9989.76,75138.08
KENTUCKY,KY ,21,177,1544,†,25829,47465,382825,200778,†,623,877,13648,62758,70482,473555,1214,34986,657520,42971.55,15.30,KENTUCKY,176,177,1544,339470,318050,36117,34365,245330,228225,4436,10230.37,21567.24,98938.47
LOUISIANA,LA ,22,190,1316,147,24934,51498,420557,211200,1,†,3918,11435,80194,293324,292286,601,26432,708190,48863.89,14.49,LOUISIANA,190,190,1320,361794,346396,148555,144769,150664,141622,19560,13308.75,24075.05,90677.08
MAINE,ME ,23,275,593,11,6371,11665,99442,55067,†,†,1320,2249,5997,8432,147821,157,6506,172545,15288.10,11.29,MAINE,232,275,593,88874,83608,4291,4141,76231,71590,708,4504.44,9043.20,37364.41
MARYLAND,MD ,24,25,1408,49,31381,60514,520625,277602,†,†,2394,60233,202644,289353,286202,1206,47499,890122,62754.24,14.18,MARYLAND,25,25,1408,457073,432458,147226,142127,147375,138827,20002,25916.71,32191.47,128707.76
MASSACHUSETTS,MA ,25,424,1832,76,32096,61846,531280,287938,0,1798,2175,67806,229668,88058,483466,789,41296,914958,77630.27,11.79,MASSACHUSETTS,398,424,1832,470306,442952,45106,42952,249302,234164,6530,24496.69,46803.69,147654.79
MICHIGAN,MI ,26,882,3485,365,48993,110738,817242,445563,†,3955,8268,52028,131018,259323,898446,1256,76152,1426491,86021.53,16.58,MICHIGAN,880,885,3487,732174,694317,131943,127380,463424,435022,16441,36492.27,31046.99,203604.01
MINNESOTA,MN ,27,574,2696,308,25200,59351,503797,281619,†,†,15296,61703,99618,102511,534537,1002,55300,869967,59181.41,14.70,MINNESOTA,544,580,2720,448351,421616,52362,50149,276444,258093,8907,23686.90,25700.37,128523.70
MISSISSIPPI,MS ,28,152,1032,10,9338,32597,256686,130297,†,7605,942,4907,21664,204558,183953,300,20199,436523,33694.44,12.96,MISSISSIPPI,152,152,1032,222336,214187,103243,101315,94787,89166,13540,14004.81,14113.62,68788.86
MISSOURI,MO ,29,565,2475,82,35675,61796,518724,275053,†,†,3244,18987,74625,136370,605528,3718,48776,891248,69785.52,12.77,MISSOURI,558,565,2475,459031,432217,69325,67045,313436,292092,9554,33728.51,29362.42,128868.24
MONTANA,MT ,30,479,821,†,1451,11997,90644,45199,†,†,15475,941,9262,1042,114774,286,7509,149291,10828.28,13.79,MONTANA,397,480,840,76861,72428,545,497,59290,55484,84,3240.32,6875.09,21636.90
NEBRASKA,NE ,31,279,1098,†,19515,22387,187664,99596,†,†,4312,10110,73645,21332,203884,560,15319,329162,24052.26,13.69,NEBRASKA,250,279,1098,170833,158329,10945,10387,106301,97583,1848,8584.04,13159.69,50082.10
NEVADA,NV ,32,20,762,104,13516,28931,284029,152057,†,1041,3600,26793,215173,58482,131768,7013,36577,479574,22532.96,21.28,NEVADA,20,20,766,246590,232816,29942,28540,68519,63249,4033,8689.34,8187.55,50112.76
NEW HAMPSHIRE,NH ,33,212,507,43,4456,10901,97892,53272,73,†,312,4993,12157,3425,137297,133,8277,166594,14494.40,11.49,NEW HAMPSHIRE,197,212,507,86218,80376,1803,1622,71156,66141,280,4737.00,8830.80,31183.52
NEW JERSEY,NJ ,34,698,2558,85,83891,91260,787233,430183,†,†,2913,143222,474136,201784,523247,2768,43722,1392567,118031.40,11.80,NEW JERSEY,652,698,2561,717313,674479,103353,98431,272183,251064,14568,36763.17,54223.08,249398.35
NEW MEXICO,NM ,35,153,888,101,10884,19701,179129,102005,†,†,31858,3899,198212,5571,64475,391,7313,311719,21595.70,14.43,NEW MEXICO,153,153,888,159372,152347,2867,2704,33403,31072,392,8407.77,7536.62,35941.87
NEW YORK,NY ,36,1104,4814,343,73550,172242,1459211,787480,†,40966,19100,256849,764573,393816,1003917,5594,88597,2533449,217521.63,11.65,NEW YORK,1062,1111,4836,1304354,1228092,201791,192025,519154,484763,29411,99107.60,101484.67,442524.36
NORTH CAROLINA,NC ,37,357,2716,210,23658,110038,922608,486214,1771,0,15643,65057,326607,378828,664084,2138,91932,1544289,100994.13,15.29,NORTH CAROLINA,335,369,2746,790822,753467,192709,186119,342809,321275,24481,29534.62,61447.05,198258.38
NORTH DAKOTA,ND ,38,221,507,†,3119,8641,72645,34628,†,†,9663,1754,8340,6522,86776,378,5600,119033,9639.10,12.35,NORTH DAKOTA,168,222,522,61099,57934,3399,3123,44585,42191,428,3169.53,5678.36,20134.94
NORTHERN MARIANAS,MP ,69,1,35,†,400,481,5080,3178,†,78,1,3043,211,10,39,5307,606,9217,539.00,17.10,NORTHERN MARIANAS,1,1,35,4823,4394,8,2,22,17,1,277.00,209.00,1387.00
OHIO,OH ,39,1057,3577,335,46988,117840,974241,536231,–,–,2385,49241,130525,284455,1101464,1724,105506,1675300,100659.10,16.64,OHIO,999,1057,3577,861273,814027,145757,138698,567839,533625,19166,47448.88,41659.23,308530.58
OKLAHOMA,OK ,40,594,1778,67,37302,48471,404798,208190,†,†,76241,16162,142879,54644,310950,3111,94607,698761,42751.11,16.34,OKLAHOMA,541,594,1778,358264,340330,28056,26588,160463,150487,3787,19367.41,19653.09,91369.29
OREGON,OR ,41,222,1296,132,–,35644,328590,183190,†,†,6125,22256,140677,13080,317653,4715,39994,547424,31082.71,17.61,OREGON,202,222,1296,281666,262834,6810,6270,165499,152154,1142,9464.94,18774.74,80285.11
